epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6846.14,1.44708,1.44876,1.85056,0.60163,0.51818,0.50103,0.18411,2.2542,2.05313,2.26749,0.0017294,0.0017294,0.0017294
43,7002.13,1.47218,1.46305,1.87422,0.74698,0.64545,0.661,0.28671,2.09349,1.55424,2.25154,0.0017228,0.0017228,0.0017228
44,7156.51,1.44227,1.44218,1.84226,0.69702,0.37273,0.4218,0.12407,2.58102,2.24803,2.68208,0.0017162,0.0017162,0.0017162
45,7309.35,1.43551,1.46539,1.84448,0.68911,0.65455,0.60198,0.21216,2.27309,1.71721,2.37822,0.0017096,0.0017096,0.0017096
46,7462.11,1.44463,1.45798,1.83455,0.64424,0.44545,0.49089,0.1402,2.40427,2.43327,2.45345,0.001703,0.001703,0.001703
47,7614.69,1.4302,1.46004,1.83636,0.68935,0.58182,0.59992,0.22832,2.12906,1.76367,2.2444,0.0016964,0.0016964,0.0016964
48,7770.41,1.42517,1.44054,1.82925,0.62507,0.6,0.56686,0.22273,2.19649,1.89597,2.25062,0.0016898,0.0016898,0.0016898
49,7924.09,1.4051,1.41862,1.83194,0.67063,0.5553,0.58612,0.20522,2.2249,1.50051,2.34363,0.0016832,0.0016832,0.0016832
50,8074.81,1.43406,1.42224,1.82271,0.5278,0.5,0.45573,0.19641,2.19905,1.89106,2.20032,0.0016766,0.0016766,0.0016766
51,8225.79,1.48245,1.42427,1.85689,0.57535,0.52727,0.56632,0.22491,2.1456,1.71298,2.21127,0.00167,0.00167,0.00167
52,8378.79,1.39564,1.38351,1.79273,0.76038,0.66349,0.72984,0.32301,1.92841,1.25133,1.94748,0.0016634,0.0016634,0.0016634
53,8531.19,1.40088,1.40781,1.78935,0.73582,0.65838,0.71258,0.3146,1.99441,1.29981,1.95593,0.0016568,0.0016568,0.0016568
54,8683.64,1.38344,1.36691,1.79354,0.82232,0.61818,0.72035,0.31571,1.86543,1.12414,1.98141,0.0016502,0.0016502,0.0016502
55,8841.39,1.38771,1.35521,1.79605,0.67637,0.53202,0.53574,0.20512,2.2562,1.61969,2.26982,0.0016436,0.0016436,0.0016436
56,8996.37,1.39484,1.36104,1.79679,0.72926,0.69091,0.7028,0.30185,1.87169,1.30891,1.97207,0.001637,0.001637,0.001637
57,9150,1.35728,1.35063,1.76624,0.66744,0.62727,0.69797,0.25266,2.11218,1.39845,2.11867,0.0016304,0.0016304,0.0016304
58,9302.2,1.40575,1.34939,1.79125,0.7453,0.7,0.7551,0.29809,1.94235,1.20432,1.99096,0.0016238,0.0016238,0.0016238
59,9454.18,1.40533,1.38098,1.82475,0.62785,0.51818,0.53263,0.19485,2.17568,1.66057,2.25465,0.0016172,0.0016172,0.0016172
60,9606.53,1.39443,1.34673,1.79512,0.82451,0.66364,0.78351,0.37913,1.75217,1.10744,1.85748,0.0016106,0.0016106,0.0016106
61,9759.63,1.40354,1.37676,1.79508,0.73402,0.69091,0.738,0.32672,1.91211,1.13432,2.00348,0.001604,0.001604,0.001604
62,9914.79,1.38564,1.35548,1.78423,0.56362,0.49091,0.47105,0.1705,2.28744,1.69229,2.28995,0.0015974,0.0015974,0.0015974
63,10068.6,1.36223,1.31931,1.78247,0.62762,0.70483,0.66188,0.24436,2.17198,1.27381,2.14265,0.0015908,0.0015908,0.0015908
64,10223.3,1.38655,1.33662,1.78842,0.86723,0.59091,0.65924,0.29714,1.91639,1.41309,1.93965,0.0015842,0.0015842,0.0015842
65,10376.5,1.36894,1.3409,1.7701,0.49537,0.31818,0.3327,0.11989,2.45842,2.37705,2.4842,0.0015776,0.0015776,0.0015776
66,10530.1,1.39212,1.34869,1.77635,0.62948,0.49091,0.5052,0.17967,2.34735,1.77538,2.32646,0.001571,0.001571,0.001571
67,10683.4,1.39222,1.33166,1.77868,0.64197,0.41818,0.45263,0.18865,2.47163,2.04845,2.52809,0.0015644,0.0015644,0.0015644
68,10836.8,1.35554,1.32576,1.74022,0.70778,0.58182,0.65105,0.27948,2.08812,1.36316,2.17421,0.0015578,0.0015578,0.0015578
69,10995.1,1.36126,1.29222,1.77595,0.71534,0.74545,0.74899,0.34587,1.95073,1.15512,1.93446,0.0015512,0.0015512,0.0015512
70,11152,1.37053,1.29437,1.77101,0.8137,0.74545,0.81098,0.36475,1.76146,1.08482,1.82624,0.0015446,0.0015446,0.0015446
71,11308.4,1.37453,1.33933,1.76712,0.77643,0.62727,0.70126,0.33127,1.85634,1.32125,1.9154,0.001538,0.001538,0.001538
72,11464,1.33251,1.29264,1.73722,0.84847,0.60909,0.75141,0.30946,1.84832,1.23372,1.8989,0.0015314,0.0015314,0.0015314
73,11617.5,1.33019,1.30032,1.7541,0.77592,0.61818,0.73114,0.29848,1.93601,1.31499,2.06071,0.0015248,0.0015248,0.0015248
74,11769.6,1.37525,1.31804,1.75139,0.68851,0.4622,0.50068,0.15614,2.44454,1.8438,2.55739,0.0015182,0.0015182,0.0015182
75,11922.8,1.31919,1.25327,1.73732,0.78228,0.78395,0.78309,0.39095,1.8066,1.30447,1.89471,0.0015116,0.0015116,0.0015116
76,12077.5,1.31146,1.2815,1.73282,0.77878,0.74545,0.72169,0.33325,1.82066,1.18497,1.88736,0.001505,0.001505,0.001505
77,12231.2,1.35633,1.25933,1.76173,0.83777,0.75114,0.80751,0.40253,1.58939,1.09095,1.67946,0.0014984,0.0014984,0.0014984
78,12383.2,1.31535,1.27602,1.72526,0.84455,0.69149,0.796,0.35798,1.85741,1.0624,1.93637,0.0014918,0.0014918,0.0014918
79,12535.4,1.34008,1.24762,1.74134,0.75736,0.65265,0.7278,0.36371,1.76845,1.20537,1.8345,0.0014852,0.0014852,0.0014852
80,12687.2,1.35609,1.29526,1.74689,0.8133,0.73636,0.77533,0.36343,1.71232,1.21308,1.82254,0.0014786,0.0014786,0.0014786
81,12838.6,1.35388,1.2993,1.74457,0.72318,0.73625,0.75865,0.35739,1.76474,1.10942,1.8596,0.001472,0.001472,0.001472
82,12989.5,1.29453,1.21956,1.71264,0.61776,0.43636,0.4559,0.1591,2.434,1.70379,2.45918,0.0014654,0.0014654,0.0014654
83,13144.6,1.31359,1.24104,1.75078,0.81391,0.67273,0.81155,0.34469,1.79964,1.11497,1.88808,0.0014588,0.0014588,0.0014588
84,13297.9,1.29407,1.22164,1.7165,0.75251,0.71867,0.78319,0.30127,1.85899,1.25244,1.90877,0.0014522,0.0014522,0.0014522
85,13451.2,1.30656,1.20895,1.70218,0.84422,0.67273,0.79073,0.39992,1.74378,1.06146,1.81746,0.0014456,0.0014456,0.0014456
86,13603.8,1.31368,1.22556,1.71121,0.82553,0.77429,0.83112,0.39877,1.73316,1.10815,1.80891,0.001439,0.001439,0.001439
87,13755.5,1.31542,1.19119,1.71724,0.85994,0.78145,0.84631,0.45223,1.56638,1.08379,1.6979,0.0014324,0.0014324,0.0014324
88,13906.5,1.32816,1.23198,1.74019,0.78036,0.62727,0.7171,0.34671,1.811,1.47423,1.9079,0.0014258,0.0014258,0.0014258
89,14058.2,1.30698,1.22196,1.7135,0.79968,0.72583,0.80386,0.41006,1.61602,1.24393,1.68221,0.0014192,0.0014192,0.0014192
90,14211.2,1.25821,1.19519,1.69821,0.8869,0.75455,0.84989,0.40665,1.68839,1.00619,1.7033,0.0014126,0.0014126,0.0014126
91,14364.7,1.27391,1.22279,1.71871,0.75902,0.65859,0.75663,0.33304,2.07244,1.28705,2.06224,0.001406,0.001406,0.001406
92,14516.4,1.33008,1.22039,1.72573,0.78358,0.69122,0.78972,0.36352,1.85145,1.16039,1.83181,0.0013994,0.0013994,0.0013994
93,14669,1.27468,1.19721,1.71104,0.81594,0.70909,0.80238,0.38671,1.72748,1.14561,1.78667,0.0013928,0.0013928,0.0013928
94,14821,1.32423,1.18752,1.71931,0.78463,0.69552,0.7465,0.35325,1.88559,1.16606,1.84186,0.0013862,0.0013862,0.0013862
95,14972.7,1.30813,1.20989,1.71382,0.81575,0.76476,0.86455,0.43589,1.60804,1.02776,1.64522,0.0013796,0.0013796,0.0013796
96,15124.3,1.27634,1.21745,1.71494,0.82215,0.78182,0.83776,0.38762,1.74011,1.0437,1.77207,0.001373,0.001373,0.001373
97,15276.1,1.25318,1.18511,1.66601,0.81055,0.73902,0.82219,0.38082,1.69421,1.04082,1.76244,0.0013664,0.0013664,0.0013664
98,15428,1.24303,1.17014,1.6688,0.78279,0.72727,0.7923,0.31805,1.93086,1.17261,1.93633,0.0013598,0.0013598,0.0013598
99,15580.1,1.27815,1.15687,1.69903,0.73758,0.79091,0.80358,0.41535,1.61963,1.00447,1.70273,0.0013532,0.0013532,0.0013532
100,15732.2,1.31648,1.21994,1.71375,0.77741,0.76201,0.83015,0.43886,1.61458,1.10099,1.69856,0.0013466,0.0013466,0.0013466
101,15883.8,1.2673,1.16732,1.68399,0.8677,0.74545,0.81794,0.37804,1.85395,1.19132,1.86732,0.00134,0.00134,0.00134
102,16035.8,1.2652,1.15852,1.67398,0.83854,0.84986,0.87293,0.40247,1.73442,0.96281,1.7857,0.0013334,0.0013334,0.0013334
