epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5841.38,1.56423,1.50046,0.02726,0.84043,0.74481,0.82006,0.42733,1.69176,0.98124,0.03589,0.0017294,0.0017294,0.0017294
43,5982.01,1.59972,1.45066,0.02657,0.79018,0.77778,0.84238,0.43843,1.70404,1.02555,0.03799,0.0017228,0.0017228,0.0017228
44,6112.21,1.60602,1.41276,0.02701,0.74269,0.78721,0.82188,0.43772,1.68636,1.03353,0.03679,0.0017162,0.0017162,0.0017162
45,6243.3,1.59448,1.39141,0.02609,0.78275,0.7643,0.8234,0.41078,1.78707,1.09724,0.04039,0.0017096,0.0017096,0.0017096
46,6376.28,1.56014,1.45655,0.02512,0.83889,0.73636,0.85387,0.47896,1.63107,1.03187,0.0347,0.001703,0.001703,0.001703
47,6510.45,1.56849,1.45916,0.02774,0.79604,0.82788,0.84785,0.40595,1.69142,1.08013,0.03488,0.0016964,0.0016964,0.0016964
48,6643.58,1.5898,1.42559,0.02668,0.75145,0.73296,0.76239,0.29514,2.25407,1.4412,0.04949,0.0016898,0.0016898,0.0016898
49,6775.72,1.63432,1.50004,0.02985,0.67797,0.72306,0.68136,0.30254,1.96101,1.50891,0.04276,0.0016832,0.0016832,0.0016832
50,6909.33,1.58249,1.4382,0.02713,0.79355,0.73772,0.82212,0.34449,1.90163,1.19006,0.04246,0.0016766,0.0016766,0.0016766
51,7043.43,1.57009,1.40996,0.02784,0.75835,0.76082,0.83211,0.44495,1.67021,0.97559,0.03587,0.00167,0.00167,0.00167
52,7175.38,1.54224,1.34823,0.02599,0.78798,0.79798,0.8285,0.44825,1.66997,0.86973,0.03685,0.0016634,0.0016634,0.0016634
53,7306.22,1.53342,1.38865,0.02535,0.75632,0.75758,0.78191,0.38619,1.84834,1.01053,0.0423,0.0016568,0.0016568,0.0016568
54,7437.44,1.55946,1.40004,0.02663,0.74782,0.7189,0.79102,0.39561,1.81986,1.28854,0.03934,0.0016502,0.0016502,0.0016502
55,7568.53,1.54827,1.33642,0.02517,0.90456,0.74747,0.87979,0.4668,1.65603,0.98747,0.03569,0.0016436,0.0016436,0.0016436
56,7699.03,1.53267,1.3384,0.02569,0.87386,0.74747,0.83697,0.46193,1.6545,0.86448,0.03527,0.001637,0.001637,0.001637
57,7830.68,1.54809,1.41244,0.02655,0.78476,0.79798,0.84238,0.39581,1.8592,1.02077,0.04219,0.0016304,0.0016304,0.0016304
58,7961.45,1.51284,1.35412,0.024,0.72251,0.88889,0.82889,0.42581,1.72081,1.02192,0.03648,0.0016238,0.0016238,0.0016238
59,8091.72,1.5573,1.39828,0.02668,0.79056,0.76256,0.80142,0.3769,1.80239,0.90596,0.03784,0.0016172,0.0016172,0.0016172
60,8222.09,1.53896,1.40483,0.0257,0.81058,0.82129,0.85704,0.44733,1.71917,1.01949,0.03796,0.0016106,0.0016106,0.0016106
61,8352.93,1.51353,1.34815,0.02491,0.86906,0.80452,0.87077,0.47267,1.6857,0.98625,0.03603,0.001604,0.001604,0.001604
62,8483.9,1.53101,1.32559,0.02555,0.90766,0.79431,0.84197,0.44237,1.73514,0.94549,0.03747,0.0015974,0.0015974,0.0015974
63,8614.49,1.57194,1.23436,0.02626,0.80888,0.78788,0.83912,0.40808,1.91428,1.00147,0.04134,0.0015908,0.0015908,0.0015908
64,8747.31,1.56956,1.30652,0.02642,0.79558,0.70764,0.76515,0.40076,1.74777,1.17217,0.03986,0.0015842,0.0015842,0.0015842
65,8877.4,1.54804,1.37906,0.02688,0.80186,0.83838,0.86639,0.4287,1.81002,1.04074,0.04175,0.0015776,0.0015776,0.0015776
66,9007.19,1.51943,1.33026,0.02566,0.83283,0.84848,0.9152,0.50765,1.54555,0.7944,0.03134,0.001571,0.001571,0.001571
67,9136.17,1.48779,1.24599,0.02514,0.84496,0.82578,0.90017,0.45558,1.77093,0.73485,0.0375,0.0015644,0.0015644,0.0015644
68,9266.28,1.55795,1.29254,0.02657,0.84123,0.80283,0.85637,0.43612,1.7362,0.81268,0.03717,0.0015578,0.0015578,0.0015578
69,9396.91,1.49509,1.26063,0.02484,0.86144,0.78788,0.86202,0.46528,1.69007,0.89172,0.03577,0.0015512,0.0015512,0.0015512
70,9528.9,1.55181,1.28596,0.02622,0.81245,0.83138,0.8567,0.43679,1.75324,0.90671,0.0385,0.0015446,0.0015446,0.0015446
71,9659.51,1.52913,1.26648,0.02627,0.80622,0.80808,0.86007,0.48986,1.54492,0.89068,0.03234,0.001538,0.001538,0.001538
72,9792.69,1.52237,1.268,0.0252,0.83112,0.82828,0.9085,0.45962,1.72996,1.01429,0.03861,0.0015314,0.0015314,0.0015314
73,9926.52,1.52678,1.34511,0.02635,0.87328,0.77778,0.8739,0.49028,1.59081,0.93822,0.03314,0.0015248,0.0015248,0.0015248
74,10058,1.4597,1.23752,0.02501,0.83457,0.77778,0.87757,0.45824,1.64531,0.89471,0.03398,0.0015182,0.0015182,0.0015182
75,10193.9,1.51208,1.28862,0.02559,0.82332,0.87879,0.89122,0.4849,1.64653,0.83337,0.03207,0.0015116,0.0015116,0.0015116
76,10324.2,1.50071,1.32347,0.02579,0.89713,0.79798,0.86684,0.42071,1.80005,0.92855,0.03621,0.001505,0.001505,0.001505
77,10453.9,1.45515,1.22958,0.0243,0.85458,0.7717,0.8516,0.43414,1.71586,1.01696,0.03613,0.0014984,0.0014984,0.0014984
78,10582.6,1.52126,1.29483,0.02563,0.85992,0.80808,0.88343,0.46463,1.67869,0.76821,0.03457,0.0014918,0.0014918,0.0014918
79,10710.8,1.44946,1.27088,0.02365,0.90435,0.88889,0.93404,0.51475,1.55432,0.64666,0.03129,0.0014852,0.0014852,0.0014852
80,10839.9,1.41474,1.28445,0.02339,0.8747,0.79798,0.8971,0.49301,1.54247,0.84687,0.0298,0.0014786,0.0014786,0.0014786
81,10969.5,1.48169,1.19462,0.02479,0.91257,0.80808,0.90807,0.44027,1.69634,0.79356,0.03452,0.001472,0.001472,0.001472
