epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12101.4,0.80259,0.97847,1.23627,0.64329,0.63859,0.69986,0.49725,0.96727,1.30961,1.25276,0.00108088,0.00108088,0.00108088
43,12389,0.80157,0.95366,1.24162,0.62917,0.69543,0.6957,0.52403,0.89336,1.46667,1.19052,0.00107675,0.00107675,0.00107675
44,12677.3,0.8208,0.95167,1.24904,0.60893,0.69674,0.75423,0.57639,0.89806,1.17398,1.18392,0.00107263,0.00107263,0.00107263
45,12964.9,0.80976,0.92035,1.24262,0.68821,0.75775,0.77893,0.57571,0.90799,1.02322,1.22316,0.0010685,0.0010685,0.0010685
46,13252.5,0.78522,0.92359,1.23159,0.63842,0.71311,0.70558,0.51967,0.9567,1.20106,1.22871,0.00106437,0.00106437,0.00106437
47,13540.2,0.81051,0.9323,1.23905,0.67663,0.67092,0.72224,0.55571,0.87227,1.18496,1.21081,0.00106025,0.00106025,0.00106025
48,13828.3,0.79464,0.89757,1.23197,0.57214,0.62569,0.63962,0.48122,0.91364,1.47721,1.18989,0.00105612,0.00105612,0.00105612
49,14116.8,0.79044,0.91247,1.22755,0.74402,0.7501,0.82843,0.6212,0.90338,0.96536,1.21245,0.001052,0.001052,0.001052
50,14404.2,0.7714,0.88623,1.20681,0.72828,0.79896,0.81181,0.61477,0.87751,1.00362,1.17998,0.00104787,0.00104787,0.00104787
51,14691.8,0.78867,0.88745,1.22853,0.70893,0.79611,0.79357,0.60513,0.85492,1.08479,1.18105,0.00104375,0.00104375,0.00104375
52,14981.2,0.7762,0.82012,1.22644,0.72881,0.74102,0.79676,0.61106,0.88111,1.01734,1.19059,0.00103962,0.00103962,0.00103962
53,15270.4,0.77576,0.84647,1.22486,0.76512,0.76009,0.80558,0.61434,0.88126,0.99323,1.17677,0.0010355,0.0010355,0.0010355
54,15555.2,0.7773,0.88067,1.23102,0.75906,0.72595,0.78513,0.57947,0.90159,1.26893,1.1977,0.00103138,0.00103138,0.00103138
55,15839.6,0.76864,0.85074,1.21703,0.75737,0.7856,0.83361,0.62859,0.94839,1.03584,1.21691,0.00102725,0.00102725,0.00102725
56,16123.7,0.76535,0.81677,1.20069,0.76916,0.77916,0.82529,0.62941,0.86448,1.00853,1.19618,0.00102312,0.00102312,0.00102312
57,16407.4,0.74734,0.80513,1.20669,0.64866,0.74024,0.75484,0.57016,0.87489,1.18179,1.17738,0.001019,0.001019,0.001019
58,16690.3,0.75255,0.81883,1.21007,0.76713,0.81561,0.85181,0.65398,0.84858,0.86662,1.17837,0.00101488,0.00101488,0.00101488
59,16971.9,0.75747,0.80188,1.20307,0.70746,0.76356,0.80555,0.6236,0.84006,1.00244,1.18457,0.00101075,0.00101075,0.00101075
60,17257.1,0.7404,0.80643,1.19881,0.70117,0.78101,0.79733,0.59783,0.88538,1.00503,1.20122,0.00100663,0.00100663,0.00100663
61,17545.3,0.74148,0.77511,1.19381,0.7674,0.76766,0.8225,0.62493,0.8804,0.90065,1.19375,0.0010025,0.0010025,0.0010025
62,17831.9,0.72968,0.7685,1.18299,0.76192,0.75402,0.782,0.5841,0.88042,1.04102,1.20353,0.000998375,0.000998375,0.000998375
63,18118.6,0.74691,0.77062,1.18568,0.68565,0.81753,0.82145,0.61887,0.91026,1.04789,1.20628,0.00099425,0.00099425,0.00099425
64,18403.1,0.72419,0.74471,1.1708,0.78535,0.83453,0.85302,0.66134,0.82805,0.85817,1.16716,0.000990125,0.000990125,0.000990125
65,18687.1,0.73097,0.75776,1.18479,0.72718,0.75937,0.81203,0.62494,0.83226,0.942,1.16813,0.000986,0.000986,0.000986
66,18971,0.72172,0.74642,1.17855,0.71158,0.77061,0.80674,0.61566,0.86654,1.10669,1.19682,0.000981875,0.000981875,0.000981875
67,19254.4,0.71666,0.72247,1.16179,0.73863,0.82655,0.83841,0.64652,0.8648,1.01877,1.21437,0.00097775,0.00097775,0.00097775
68,19537.7,0.70825,0.72819,1.17577,0.78903,0.80968,0.86426,0.6713,0.85835,0.88643,1.1754,0.000973625,0.000973625,0.000973625
69,19826.4,0.71572,0.73018,1.17315,0.77769,0.75538,0.81979,0.62203,0.89784,1.09347,1.18486,0.0009695,0.0009695,0.0009695
70,20113.3,0.72303,0.71586,1.17499,0.73512,0.78781,0.80655,0.61174,0.85536,1.08135,1.17508,0.000965375,0.000965375,0.000965375
