epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.535,1.11753,2.9107,1.45192,0.00463,0.98238,0.21818,0.13483,1.06145,3.58085,1.66324,0.000405983,0.000405983,0.000405983
2,583.897,1.18046,2.08668,1.45769,0.33038,0.4984,0.36978,0.22737,1.04777,2.85317,1.54083,0.000819935,0.000819935,0.000819935
3,804.199,1.17174,1.89243,1.42566,0.27709,0.4452,0.25741,0.12313,1.45295,3.53217,2.02221,0.00123114,0.00123114,0.00123114
4,1027.01,1.18718,1.85522,1.43896,0.23772,0.44855,0.24541,0.11434,1.65734,3.34676,2.10485,0.00123763,0.00123763,0.00123763
5,1251.41,1.159,1.74303,1.41721,0.28296,0.41349,0.32389,0.19688,1.22098,2.87924,1.78242,0.0012335,0.0012335,0.0012335
6,1475.21,1.14656,1.67834,1.39239,0.25068,0.54775,0.33691,0.18115,1.55054,2.69289,1.86678,0.00122937,0.00122937,0.00122937
7,1697.92,1.11638,1.57563,1.35174,0.33542,0.67513,0.45919,0.26619,1.25027,2.33452,1.54131,0.00122525,0.00122525,0.00122525
8,1922.24,1.07997,1.49188,1.33604,0.46409,0.58477,0.50887,0.33489,1.0887,1.64014,1.45724,0.00122112,0.00122112,0.00122112
9,2146.13,1.09055,1.46303,1.35241,0.44564,0.65883,0.592,0.39893,1.12135,1.49769,1.47086,0.001217,0.001217,0.001217
10,2371.12,1.05036,1.40339,1.31944,0.34532,0.7438,0.44625,0.30172,1.02437,1.97154,1.34245,0.00121287,0.00121287,0.00121287
11,2595.5,1.04192,1.42557,1.31022,0.41156,0.64726,0.49414,0.30911,1.17355,1.62658,1.49562,0.00120875,0.00120875,0.00120875
12,2819.77,1.04714,1.39713,1.31421,0.54876,0.76357,0.65019,0.48013,0.92212,1.22047,1.24994,0.00120462,0.00120462,0.00120462
13,3042.64,1.02521,1.34547,1.30415,0.39972,0.68997,0.52562,0.31798,1.30576,1.47084,1.51799,0.0012005,0.0012005,0.0012005
14,3266.55,1.01802,1.33363,1.28869,0.50547,0.73754,0.67062,0.48421,0.95259,1.22384,1.28298,0.00119637,0.00119637,0.00119637
15,3490.1,1.03115,1.28669,1.28598,0.49474,0.73835,0.59233,0.42864,0.98365,1.30981,1.28753,0.00119225,0.00119225,0.00119225
16,3715.13,0.9968,1.30414,1.27888,0.44541,0.70917,0.56443,0.41023,0.90651,1.3743,1.24338,0.00118812,0.00118812,0.00118812
17,3940.49,0.96896,1.27647,1.26938,0.51929,0.72922,0.63268,0.4616,0.90899,1.22958,1.22992,0.001184,0.001184,0.001184
18,4167.23,0.9956,1.23618,1.26832,0.46998,0.79001,0.63269,0.47676,0.92053,1.22789,1.24343,0.00117988,0.00117988,0.00117988
19,4394.57,0.9754,1.24819,1.25394,0.43338,0.78566,0.65914,0.5043,0.88194,1.33295,1.18284,0.00117575,0.00117575,0.00117575
20,4619.56,0.96856,1.22383,1.23926,0.40765,0.64647,0.51231,0.34941,1.12687,1.78084,1.41934,0.00117163,0.00117163,0.00117163
21,4844.64,0.96633,1.21999,1.24246,0.5716,0.68927,0.67478,0.51685,0.87405,1.1014,1.21996,0.0011675,0.0011675,0.0011675
22,5070.9,0.94905,1.21645,1.2462,0.57406,0.65345,0.63634,0.43384,1.20896,1.20721,1.47492,0.00116337,0.00116337,0.00116337
23,5294.17,0.94864,1.21779,1.24464,0.37716,0.66974,0.46774,0.31524,1.03008,1.771,1.35556,0.00115925,0.00115925,0.00115925
24,5515.15,0.92958,1.19532,1.2234,0.55435,0.69121,0.63771,0.46793,0.96682,1.28,1.2645,0.00115513,0.00115513,0.00115513
25,5728.9,0.95461,1.19726,1.23526,0.44494,0.70088,0.55922,0.39661,0.99798,1.63342,1.3198,0.001151,0.001151,0.001151
26,5939.42,0.94006,1.18978,1.23106,0.40299,0.7344,0.60631,0.45999,0.86052,1.50568,1.1964,0.00114688,0.00114688,0.00114688
27,6149.28,0.91868,1.17773,1.22093,0.56637,0.70016,0.67265,0.51224,0.86038,1.17235,1.18491,0.00114275,0.00114275,0.00114275
28,6359.23,0.8907,1.1487,1.20044,0.61574,0.66791,0.69692,0.53624,0.85896,0.98902,1.18331,0.00113863,0.00113863,0.00113863
29,6579.43,0.90169,1.15447,1.20539,0.67568,0.74195,0.73507,0.56981,0.79228,0.94958,1.12341,0.0011345,0.0011345,0.0011345
30,6799.78,0.88915,1.12975,1.19785,0.64389,0.71451,0.7097,0.55238,0.79734,1.07262,1.15301,0.00113038,0.00113038,0.00113038
31,7021.28,0.85911,1.11673,1.18486,0.54639,0.72246,0.69765,0.55003,0.82242,1.07222,1.1594,0.00112625,0.00112625,0.00112625
32,7243.03,0.86904,1.11759,1.19038,0.48613,0.85312,0.66295,0.50344,0.90321,1.13987,1.2026,0.00112213,0.00112213,0.00112213
33,7466.1,0.87954,1.09201,1.18987,0.47596,0.74232,0.642,0.48327,0.89967,1.19363,1.21512,0.001118,0.001118,0.001118
34,7688.86,0.90174,1.1088,1.20104,0.54699,0.66894,0.65162,0.44098,1.14637,1.17235,1.36666,0.00111388,0.00111388,0.00111388
35,7911.9,0.86064,1.0859,1.1782,0.52182,0.71403,0.66491,0.46608,0.96519,1.14657,1.27305,0.00110975,0.00110975,0.00110975
36,8134.53,0.85506,1.10166,1.17271,0.50975,0.81261,0.68045,0.51722,0.91465,1.20118,1.19223,0.00110563,0.00110563,0.00110563
37,8355.02,0.85418,1.09151,1.16048,0.3939,0.7687,0.57984,0.43686,0.86404,1.61451,1.17972,0.0011015,0.0011015,0.0011015
38,8573.07,0.86899,1.11537,1.1912,0.4688,0.86504,0.71332,0.56791,0.78164,1.15875,1.12202,0.00109738,0.00109738,0.00109738
39,8792.61,0.87319,1.09815,1.17956,0.51741,0.73903,0.65863,0.52261,0.81836,1.20441,1.12858,0.00109325,0.00109325,0.00109325
40,9012.03,0.88993,1.10502,1.195,0.48567,0.84317,0.68499,0.55212,0.78125,1.12637,1.11649,0.00108913,0.00108913,0.00108913
41,9232.8,0.84175,1.08493,1.17662,0.63921,0.64998,0.72866,0.57484,0.81264,1.04321,1.13879,0.001085,0.001085,0.001085
42,9452.85,0.84577,1.04532,1.15787,0.52502,0.75256,0.70568,0.54841,0.80928,1.09068,1.16939,0.00108088,0.00108088,0.00108088
43,9673.75,0.84072,1.03641,1.16478,0.61719,0.66927,0.71204,0.55927,0.8182,1.12541,1.13965,0.00107675,0.00107675,0.00107675
44,9892.21,0.84631,1.05761,1.17576,0.57956,0.75148,0.69817,0.54323,0.83058,1.02807,1.14193,0.00107263,0.00107263,0.00107263
45,10111.7,0.84558,1.06189,1.16933,0.56788,0.81911,0.72436,0.56413,0.82645,1.10631,1.14335,0.0010685,0.0010685,0.0010685
46,10330,0.83392,1.01293,1.16721,0.67424,0.73145,0.78097,0.61116,0.82863,0.91574,1.18193,0.00106437,0.00106437,0.00106437
47,10550.1,0.81765,1.02963,1.1491,0.42984,0.76723,0.6324,0.50504,0.76762,1.32537,1.11577,0.00106025,0.00106025,0.00106025
48,10770,0.8495,1.02749,1.16558,0.37294,0.5825,0.5375,0.39846,0.87574,2.09994,1.23675,0.00105612,0.00105612,0.00105612
49,10990.2,0.82079,1.03327,1.15539,0.59097,0.76821,0.71015,0.55827,0.81098,1.10677,1.14465,0.001052,0.001052,0.001052
50,11210.1,0.82218,1.04111,1.15803,0.58613,0.71276,0.70525,0.55797,0.80712,1.19336,1.11812,0.00104787,0.00104787,0.00104787
51,11430.2,0.82127,1.01322,1.14875,0.56867,0.76323,0.72152,0.55708,0.78885,1.00016,1.1418,0.00104375,0.00104375,0.00104375
52,11653.4,0.85421,1.04702,1.16548,0.53602,0.77922,0.70585,0.56457,0.75712,1.13535,1.10321,0.00103962,0.00103962,0.00103962
53,11874.3,0.81486,0.99811,1.1472,0.51018,0.57887,0.55224,0.43494,0.86529,1.85773,1.16086,0.0010355,0.0010355,0.0010355
54,12094.9,0.7869,0.96939,1.13382,0.64574,0.72799,0.75206,0.61004,0.74983,0.96787,1.08243,0.00103138,0.00103138,0.00103138
55,12317,0.81925,0.99074,1.162,0.62983,0.71567,0.71341,0.56882,0.79718,1.08252,1.13014,0.00102725,0.00102725,0.00102725
56,12537.8,0.7998,0.98439,1.13643,0.60785,0.74315,0.75912,0.61037,0.75284,0.9493,1.08537,0.00102312,0.00102312,0.00102312
57,12758.1,0.81863,0.97731,1.14327,0.6235,0.71081,0.74982,0.59823,0.77842,0.96536,1.12473,0.001019,0.001019,0.001019
58,12978.2,0.80148,0.99552,1.14278,0.44702,0.66388,0.53256,0.4237,0.75919,1.39214,1.10083,0.00101488,0.00101488,0.00101488
59,13199.6,0.82236,0.9903,1.15875,0.5539,0.79369,0.70813,0.57173,0.77207,1.04499,1.09101,0.00101075,0.00101075,0.00101075
60,13420.3,0.79467,0.94754,1.13085,0.6239,0.7693,0.75518,0.60326,0.75695,1.10757,1.09821,0.00100663,0.00100663,0.00100663
61,13641.5,0.81187,0.99745,1.1488,0.57491,0.71628,0.67886,0.53773,0.82167,1.41711,1.1565,0.0010025,0.0010025,0.0010025
62,13863,0.81247,0.98456,1.14382,0.66825,0.70307,0.75638,0.597,0.81413,0.95767,1.13885,0.000998375,0.000998375,0.000998375
63,14081.9,0.81488,0.96633,1.15123,0.66881,0.7202,0.78137,0.64124,0.72663,1.00078,1.07252,0.00099425,0.00099425,0.00099425
64,14301.2,0.7933,0.91842,1.13907,0.48313,0.82705,0.69106,0.55309,0.79289,1.33917,1.11808,0.000990125,0.000990125,0.000990125
65,14522.4,0.79022,0.9425,1.12391,0.66755,0.70038,0.73931,0.58801,0.76586,1.03048,1.11028,0.000986,0.000986,0.000986
66,14741.1,0.80197,0.91593,1.13147,0.62792,0.75646,0.76073,0.61312,0.76441,1.06131,1.10668,0.000981875,0.000981875,0.000981875
67,14960.5,0.79215,0.92781,1.12466,0.44317,0.74771,0.53967,0.41449,0.90552,1.38022,1.22545,0.00097775,0.00097775,0.00097775
68,15180.7,0.79969,0.91257,1.13572,0.62351,0.76945,0.79041,0.63556,0.76085,0.91149,1.10155,0.000973625,0.000973625,0.000973625
