epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.262,1.11529,2.92078,1.45581,0.00459,0.99342,0.28312,0.17185,0.9727,3.49391,1.54051,0.000405983,0.000405983,0.000405983
2,566.611,1.17511,2.09697,1.4641,0.37356,0.41353,0.35251,0.15873,1.55698,3.07234,2.33269,0.000819935,0.000819935,0.000819935
3,865.811,1.16733,1.91775,1.43339,0.24512,0.30745,0.19013,0.08365,1.81596,3.28372,2.4977,0.00123114,0.00123114,0.00123114
4,1150.61,1.19585,1.86465,1.43218,0.06346,0.26305,0.0828,0.03934,1.47307,7.68363,2.11335,0.00123763,0.00123763,0.00123763
5,1368.73,1.1433,1.72768,1.39135,0.24504,0.56408,0.35478,0.20793,1.29734,3.22711,2.05337,0.0012335,0.0012335,0.0012335
6,1593.06,1.136,1.63342,1.36912,0.37387,0.42898,0.26614,0.14184,1.66102,3.18369,2.24772,0.00122937,0.00122937,0.00122937
7,1818.45,1.10084,1.56705,1.33873,0.36437,0.62287,0.48024,0.26035,1.4037,2.13457,1.71004,0.00122525,0.00122525,0.00122525
8,2045.97,1.07784,1.4778,1.31226,0.37602,0.6326,0.47709,0.28941,1.25259,1.77179,1.55332,0.00122112,0.00122112,0.00122112
9,2287.42,1.09794,1.43205,1.33705,0.45002,0.69179,0.54583,0.36653,1.02379,1.46694,1.36452,0.001217,0.001217,0.001217
10,2524.43,1.04202,1.39369,1.30194,0.42896,0.7813,0.57464,0.3908,1.07366,1.44818,1.36166,0.00121287,0.00121287,0.00121287
11,2756.04,1.06073,1.39942,1.29769,0.56847,0.7304,0.64241,0.46808,0.94831,1.22541,1.28523,0.00120875,0.00120875,0.00120875
12,2984.57,1.05422,1.37008,1.29569,0.40478,0.72686,0.59537,0.39248,1.12037,1.50718,1.43732,0.00120462,0.00120462,0.00120462
13,3212.15,1.02189,1.33805,1.29093,0.45955,0.6408,0.52182,0.38057,0.94551,1.72393,1.27554,0.0012005,0.0012005,0.0012005
14,3451.96,1.01174,1.29876,1.27439,0.53925,0.71055,0.62749,0.46186,0.96812,1.25653,1.27861,0.00119637,0.00119637,0.00119637
15,3687.56,1.01089,1.27776,1.27452,0.43058,0.76043,0.62599,0.44656,0.96167,1.42947,1.32237,0.00119225,0.00119225,0.00119225
16,3918.72,1.00669,1.30063,1.27242,0.39046,0.79568,0.49682,0.32094,1.19193,1.4275,1.44978,0.00118812,0.00118812,0.00118812
17,4147.38,0.98745,1.28706,1.26187,0.47147,0.63881,0.55636,0.37994,0.97234,1.59993,1.26833,0.001184,0.001184,0.001184
18,4374.74,0.99617,1.21821,1.25763,0.48039,0.79199,0.62344,0.45148,0.97463,1.27922,1.27445,0.00117988,0.00117988,0.00117988
19,4602.37,0.99972,1.25761,1.26194,0.60924,0.72985,0.69553,0.52039,0.89133,1.05994,1.2028,0.00117575,0.00117575,0.00117575
20,4842.3,0.97325,1.21631,1.23875,0.44601,0.71115,0.55274,0.33879,1.28428,1.39911,1.57349,0.00117163,0.00117163,0.00117163
21,5077.46,0.95751,1.20585,1.22573,0.60179,0.6533,0.64657,0.47393,0.99464,1.19758,1.29799,0.0011675,0.0011675,0.0011675
22,5313.13,0.97157,1.19149,1.25479,0.62089,0.69901,0.69658,0.489,1.02579,1.05766,1.31987,0.00116337,0.00116337,0.00116337
23,5548.93,0.96761,1.19776,1.24543,0.6071,0.66512,0.63301,0.47611,0.87509,1.14113,1.21031,0.00115925,0.00115925,0.00115925
24,5780.94,0.93281,1.18526,1.21945,0.5474,0.66229,0.6768,0.52193,0.87007,1.24923,1.17444,0.00115513,0.00115513,0.00115513
25,6011.34,0.93873,1.19183,1.21671,0.61355,0.70661,0.6904,0.51959,0.86456,1.08174,1.19353,0.001151,0.001151,0.001151
26,6248.46,0.94836,1.16582,1.22628,0.26563,0.47018,0.35124,0.25085,0.95187,2.51283,1.30959,0.00114688,0.00114688,0.00114688
27,6487.98,0.91723,1.1652,1.21106,0.42519,0.81616,0.62598,0.48803,0.85842,1.46809,1.19986,0.00114275,0.00114275,0.00114275
28,6722.38,0.91841,1.15494,1.20963,0.57878,0.63118,0.67834,0.53319,0.81228,1.21438,1.15665,0.00113863,0.00113863,0.00113863
29,6952.23,0.90636,1.15162,1.1982,0.4666,0.73565,0.66196,0.50387,0.85491,1.25028,1.15243,0.0011345,0.0011345,0.0011345
30,7178.72,0.90017,1.11759,1.19364,0.65132,0.69496,0.71934,0.56264,0.80273,1.01291,1.14456,0.00113038,0.00113038,0.00113038
31,7417.6,0.87652,1.12459,1.19072,0.38205,0.73292,0.54137,0.41902,0.84995,1.65915,1.18421,0.00112625,0.00112625,0.00112625
32,7652.09,0.87608,1.11838,1.17956,0.38299,0.73562,0.59034,0.46071,0.85308,1.41532,1.19707,0.00112213,0.00112213,0.00112213
33,7880.42,0.8928,1.12547,1.19031,0.45373,0.63811,0.62072,0.48331,0.86902,1.41367,1.19235,0.001118,0.001118,0.001118
34,8107.75,0.90578,1.13949,1.20511,0.64491,0.74541,0.76312,0.59868,0.82134,0.96016,1.14017,0.00111388,0.00111388,0.00111388
35,8334.83,0.86716,1.08867,1.17647,0.62624,0.68734,0.71043,0.56188,0.78511,1.06784,1.11213,0.00110975,0.00110975,0.00110975
36,8561.49,0.87548,1.09402,1.18119,0.53737,0.6186,0.61327,0.47311,0.83188,1.3119,1.14947,0.00110563,0.00110563,0.00110563
37,8788.47,0.85789,1.08203,1.16103,0.55797,0.76911,0.70141,0.56306,0.76084,1.13638,1.10434,0.0011015,0.0011015,0.0011015
