epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.012,1.19982,3.22031,1.71428,0.0036,0.97298,0.35773,0.18381,1.19916,3.4492,1.54785,0.000409605,0.000409605,0.000409605
2,796.123,1.25653,2.45483,1.66579,0.31586,0.58981,0.37831,0.19756,1.40583,2.82084,2.14416,0.000823544,0.000823544,0.000823544
3,1199.86,1.21267,2.16604,1.61939,0.06027,0.05424,0.01928,0.00445,2.8572,4.12197,4.03871,0.00123473,0.00123473,0.00123473
4,1593.26,1.21574,1.95065,1.62782,0.27209,0.53057,0.34736,0.18544,1.45,2.2775,1.96601,0.00123763,0.00123763,0.00123763
5,1979.12,1.20675,1.82857,1.59527,0.31719,0.42632,0.32943,0.14001,1.81133,2.49973,2.23818,0.0012335,0.0012335,0.0012335
6,2367.53,1.1658,1.69134,1.56064,0.2971,0.54818,0.34435,0.14515,1.87065,2.25543,2.45094,0.00122937,0.00122937,0.00122937
7,2755.76,1.15384,1.65226,1.55821,0.17157,0.36119,0.15943,0.06185,2.04093,2.74927,2.23134,0.00122525,0.00122525,0.00122525
8,3141.14,1.10846,1.6036,1.52049,0.24424,0.57079,0.40408,0.21794,1.62682,2.14313,2.03044,0.00122112,0.00122112,0.00122112
9,3532.58,1.08756,1.5456,1.49548,0.2975,0.62178,0.4086,0.23174,1.54722,2.3194,1.9368,0.001217,0.001217,0.001217
10,3947.74,1.08282,1.52895,1.48975,0.55526,0.62202,0.59621,0.39749,1.13369,1.45445,1.45201,0.00121287,0.00121287,0.00121287
11,4342.07,1.05855,1.51807,1.48306,0.53213,0.69894,0.61046,0.41031,1.06192,1.36493,1.3859,0.00120875,0.00120875,0.00120875
12,4740.12,1.04321,1.48878,1.4662,0.52515,0.71094,0.61643,0.39926,1.19775,1.45085,1.4947,0.00120462,0.00120462,0.00120462
13,5134.57,1.0281,1.44678,1.44778,0.52595,0.70975,0.65528,0.45877,1.02046,1.33148,1.34067,0.0012005,0.0012005,0.0012005
14,5532.15,1.02204,1.44404,1.44216,0.49894,0.73227,0.65069,0.45029,1.0513,1.37907,1.36362,0.00119637,0.00119637,0.00119637
15,5926.23,1.01062,1.42427,1.43997,0.2721,0.64454,0.45448,0.25638,1.49189,1.93664,1.79419,0.00119225,0.00119225,0.00119225
16,6330.83,0.98776,1.38978,1.42416,0.51712,0.7122,0.5688,0.38682,1.08769,1.70436,1.42714,0.00118812,0.00118812,0.00118812
17,6720.72,0.98389,1.3735,1.39446,0.34936,0.72433,0.5336,0.38152,1.08051,1.72901,1.3874,0.001184,0.001184,0.001184
18,7109.69,0.9646,1.37133,1.39523,0.60867,0.72965,0.64775,0.42615,1.0935,1.24187,1.37313,0.00117988,0.00117988,0.00117988
19,7495.69,0.98025,1.35832,1.39771,0.57041,0.62191,0.61076,0.43352,0.99648,1.37343,1.31974,0.00117575,0.00117575,0.00117575
20,7899.16,0.97369,1.3317,1.39269,0.61265,0.6777,0.70031,0.49121,0.95884,1.22213,1.31382,0.00117163,0.00117163,0.00117163
21,8293.81,0.95709,1.33632,1.37896,0.48618,0.64043,0.56817,0.37739,1.12578,1.44625,1.4027,0.0011675,0.0011675,0.0011675
22,8689.82,0.94134,1.3374,1.37103,0.61903,0.67076,0.69534,0.50504,0.9358,1.16903,1.26463,0.00116337,0.00116337,0.00116337
23,9307.97,0.93341,1.31375,1.37615,0.26397,0.43371,0.31077,0.13377,2.1584,2.4396,2.43949,0.00115925,0.00115925,0.00115925
24,9972.96,0.93653,1.27789,1.38018,0.60348,0.71426,0.6966,0.52141,0.93903,1.19929,1.27397,0.00115513,0.00115513,0.00115513
25,10584.8,0.90433,1.27389,1.35026,0.44765,0.73401,0.62025,0.44725,0.99641,1.63581,1.31177,0.001151,0.001151,0.001151
26,11205.3,0.90291,1.25206,1.34127,0.45796,0.6358,0.56828,0.32806,1.44267,1.44948,1.6628,0.00114688,0.00114688,0.00114688
27,11790.2,0.91462,1.26644,1.35033,0.62969,0.71261,0.70536,0.50589,0.99267,1.20551,1.3133,0.00114275,0.00114275,0.00114275
28,12198.9,0.90145,1.23173,1.35104,0.6291,0.67635,0.69307,0.5212,0.88706,1.13087,1.20487,0.00113863,0.00113863,0.00113863
29,12616.1,0.89336,1.23732,1.32479,0.48986,0.53564,0.53955,0.33536,1.36927,1.59514,1.60862,0.0011345,0.0011345,0.0011345
30,13038.8,0.91739,1.20425,1.35503,0.6335,0.65923,0.68681,0.50784,0.99413,1.2001,1.3053,0.00113038,0.00113038,0.00113038
31,13433.1,0.88787,1.21261,1.33392,0.55903,0.70981,0.66861,0.48659,1.00234,1.2754,1.33495,0.00112625,0.00112625,0.00112625
32,13822.3,0.89458,1.18995,1.33045,0.67655,0.70107,0.75439,0.56448,0.91815,1.07167,1.23536,0.00112213,0.00112213,0.00112213
33,14214.8,0.87874,1.16447,1.32387,0.54835,0.76585,0.67336,0.50994,0.87435,1.29965,1.24216,0.001118,0.001118,0.001118
34,14604,0.89424,1.17204,1.34059,0.61741,0.73629,0.71436,0.51901,0.93882,1.20483,1.27498,0.00111388,0.00111388,0.00111388
35,14992,0.8561,1.1569,1.29335,0.60463,0.73841,0.7377,0.56303,0.86202,1.06289,1.20094,0.00110975,0.00110975,0.00110975
36,15383,0.87833,1.12048,1.31034,0.65447,0.70123,0.76242,0.58682,0.8402,1.16184,1.18234,0.00110563,0.00110563,0.00110563
37,15774,0.8419,1.11294,1.29973,0.66444,0.73114,0.76921,0.57773,0.88733,1.01867,1.25728,0.0011015,0.0011015,0.0011015
38,16159.5,0.84169,1.11991,1.28813,0.628,0.7266,0.73224,0.54117,0.96028,1.12189,1.28282,0.00109738,0.00109738,0.00109738
39,16545.9,0.84155,1.12594,1.29335,0.72652,0.72994,0.78954,0.59125,0.86659,1.04992,1.20895,0.00109325,0.00109325,0.00109325
40,16921.6,0.83474,1.09712,1.28899,0.65045,0.72915,0.74284,0.55877,0.89911,1.07312,1.22404,0.00108913,0.00108913,0.00108913
41,17298.2,0.81324,1.07525,1.26437,0.69352,0.71832,0.75863,0.57306,0.89654,1.06829,1.24332,0.001085,0.001085,0.001085
42,17663.6,0.82428,1.05791,1.27021,0.61478,0.61436,0.66233,0.48302,0.9481,1.4735,1.28329,0.00108088,0.00108088,0.00108088
43,18025.9,0.82587,1.06016,1.28058,0.6055,0.75352,0.72334,0.54845,0.87825,1.22418,1.20998,0.00107675,0.00107675,0.00107675
44,18389.3,0.82176,1.03601,1.27017,0.55334,0.59045,0.59961,0.41461,1.11572,1.34886,1.38475,0.00107263,0.00107263,0.00107263
45,18761.7,0.81881,1.03035,1.26233,0.73614,0.72882,0.78923,0.60305,0.87798,1.03625,1.26987,0.0010685,0.0010685,0.0010685
46,19122.8,0.80954,1.00982,1.26924,0.68139,0.80793,0.76964,0.58193,0.88145,1.00833,1.23312,0.00106437,0.00106437,0.00106437
47,19478.7,0.81262,1.00288,1.25827,0.5351,0.71452,0.64723,0.47238,0.99406,1.30274,1.28827,0.00106025,0.00106025,0.00106025
48,19833.1,0.77742,0.99423,1.23756,0.7108,0.64657,0.75189,0.56264,0.92827,1.23339,1.24597,0.00105612,0.00105612,0.00105612
49,20183.6,0.8065,0.98788,1.25734,0.3153,0.44352,0.31274,0.19461,1.4236,2.24817,1.65504,0.001052,0.001052,0.001052
50,20546.1,0.79727,0.96227,1.23992,0.65408,0.73959,0.75791,0.57648,0.88082,1.24642,1.22632,0.00104787,0.00104787,0.00104787
51,20902.8,0.80413,0.97006,1.25058,0.67119,0.74955,0.77061,0.58655,0.88155,1.165,1.22477,0.00104375,0.00104375,0.00104375
52,21255.8,0.80052,0.94972,1.25704,0.58728,0.7314,0.72099,0.54891,0.84053,1.12472,1.17466,0.00103962,0.00103962,0.00103962
53,21606.6,0.79454,0.92332,1.26334,0.75354,0.73761,0.80454,0.60982,0.86157,1.03853,1.18878,0.0010355,0.0010355,0.0010355
54,21975,0.79153,0.94297,1.25636,0.72472,0.76536,0.80874,0.62052,0.84558,0.97338,1.22528,0.00103138,0.00103138,0.00103138
55,22333.7,0.77621,0.92546,1.24302,0.6706,0.80651,0.7825,0.59652,0.88154,1.08921,1.24313,0.00102725,0.00102725,0.00102725
56,22688,0.78078,0.8879,1.22772,0.70056,0.73731,0.78563,0.59896,0.84427,1.14605,1.23325,0.00102312,0.00102312,0.00102312
57,23040,0.76123,0.87497,1.22606,0.59979,0.61157,0.62454,0.48031,0.83697,1.5937,1.20508,0.001019,0.001019,0.001019
58,23416.2,0.75625,0.89632,1.22172,0.67147,0.71425,0.74718,0.58521,0.83509,1.10665,1.20556,0.00101488,0.00101488,0.00101488
59,23777.4,0.76144,0.84704,1.22016,0.7088,0.70341,0.75266,0.5836,0.82561,1.12721,1.22193,0.00101075,0.00101075,0.00101075
60,24131.3,0.75156,0.87255,1.22079,0.77293,0.76579,0.82335,0.62912,0.87753,0.97176,1.21681,0.00100663,0.00100663,0.00100663
61,24483,0.75525,0.84004,1.21962,0.76195,0.76986,0.81855,0.63001,0.8161,1.14092,1.20539,0.0010025,0.0010025,0.0010025
62,24855.3,0.75859,0.83466,1.22231,0.71348,0.74963,0.79777,0.60585,0.88178,1.10302,1.21936,0.000998375,0.000998375,0.000998375
63,25215,0.75445,0.82742,1.21077,0.67963,0.78005,0.79219,0.59885,0.8742,1.00511,1.21934,0.00099425,0.00099425,0.00099425
64,25568.9,0.74354,0.82478,1.2023,0.6938,0.81021,0.8229,0.64429,0.805,0.93586,1.19733,0.000990125,0.000990125,0.000990125
65,25923.8,0.7411,0.83556,1.20606,0.7302,0.74776,0.78379,0.60027,0.8359,1.05985,1.19209,0.000986,0.000986,0.000986
66,26276.7,0.73404,0.82823,1.20298,0.73674,0.76759,0.81981,0.6354,0.84235,1.01118,1.21049,0.000981875,0.000981875,0.000981875
67,26643.1,0.73223,0.79105,1.19189,0.67308,0.76595,0.79299,0.61631,0.9124,0.99241,1.2669,0.00097775,0.00097775,0.00097775
68,26998.5,0.73273,0.80121,1.20683,0.66326,0.72827,0.75017,0.56609,0.85991,1.27053,1.22122,0.000973625,0.000973625,0.000973625
69,27349.3,0.7183,0.80051,1.18455,0.73129,0.66525,0.77747,0.59566,0.84139,0.99254,1.17579,0.0009695,0.0009695,0.0009695
70,27698.5,0.7332,0.77424,1.19673,0.74167,0.74458,0.81627,0.612,0.87987,0.99912,1.23333,0.000965375,0.000965375,0.000965375
71,28064.6,0.72125,0.7737,1.19172,0.76274,0.74854,0.81214,0.61947,0.83441,0.94781,1.20399,0.00096125,0.00096125,0.00096125
72,28415.9,0.72801,0.7699,1.20315,0.62548,0.72948,0.71579,0.53345,0.92009,1.2459,1.23412,0.000957125,0.000957125,0.000957125
73,28763.8,0.70436,0.76763,1.18575,0.70311,0.80705,0.8152,0.63458,0.83344,0.98054,1.20908,0.000953,0.000953,0.000953
74,29113.2,0.70762,0.7358,1.1896,0.76188,0.77999,0.8231,0.61884,0.86753,1.13317,1.23112,0.000948875,0.000948875,0.000948875
75,29465.8,0.71628,0.75922,1.19679,0.78103,0.78803,0.85694,0.65478,0.85104,0.95738,1.20219,0.00094475,0.00094475,0.00094475
76,29824.6,0.69775,0.7327,1.17512,0.75615,0.82406,0.84279,0.64645,0.84972,1.08545,1.23567,0.000940625,0.000940625,0.000940625
77,30175.5,0.68862,0.75111,1.15822,0.76836,0.78116,0.81115,0.62604,0.83355,1.1971,1.21911,0.0009365,0.0009365,0.0009365
78,30526.1,0.69957,0.73185,1.16892,0.72859,0.81596,0.81696,0.62746,0.83111,1.05547,1.21823,0.000932375,0.000932375,0.000932375
79,30875.8,0.69372,0.73792,1.16537,0.74049,0.76649,0.81681,0.63392,0.8067,0.94868,1.20433,0.00092825,0.00092825,0.00092825
80,31237.4,0.68683,0.72328,1.15715,0.65626,0.66731,0.70404,0.53305,0.87598,1.57507,1.29576,0.000924125,0.000924125,0.000924125
81,31596.5,0.67691,0.70595,1.15738,0.74494,0.74784,0.82135,0.61984,0.84807,1.03505,1.21686,0.00092,0.00092,0.00092
82,31951.5,0.68623,0.69413,1.16291,0.76282,0.76516,0.82199,0.63703,0.88731,0.96327,1.22236,0.000915875,0.000915875,0.000915875
83,32304,0.68001,0.69111,1.15872,0.74945,0.83135,0.83437,0.6399,0.83347,0.92773,1.24564,0.00091175,0.00091175,0.00091175
84,32677,0.69505,0.69696,1.1729,0.74767,0.75291,0.79643,0.62539,0.8267,1.30388,1.21825,0.000907625,0.000907625,0.000907625
85,33035.3,0.6833,0.68828,1.15554,0.75329,0.80487,0.83,0.62881,0.87323,1.00201,1.2387,0.0009035,0.0009035,0.0009035
86,33387.7,0.68215,0.66912,1.16734,0.77464,0.79339,0.82875,0.64116,0.85601,1.11992,1.22813,0.000899375,0.000899375,0.000899375
87,33738.4,0.67516,0.67757,1.14578,0.72586,0.77864,0.78151,0.59851,0.87347,1.18462,1.26037,0.00089525,0.00089525,0.00089525
88,34108.3,0.67457,0.67244,1.15722,0.73376,0.82113,0.8466,0.65537,0.84226,1.01695,1.24874,0.000891125,0.000891125,0.000891125
89,34465.4,0.66281,0.66992,1.13682,0.77766,0.80125,0.84709,0.66189,0.81629,0.99207,1.18342,0.000887,0.000887,0.000887
90,34818,0.66003,0.64888,1.13827,0.7627,0.81605,0.8329,0.65122,0.87117,1.12604,1.25696,0.000882875,0.000882875,0.000882875
91,35169.8,0.66312,0.66909,1.15314,0.71489,0.67931,0.75646,0.57874,0.92239,1.36853,1.29559,0.00087875,0.00087875,0.00087875
92,35519.9,0.65385,0.65968,1.13716,0.71522,0.81813,0.81159,0.63105,0.83261,1.11048,1.23029,0.000874625,0.000874625,0.000874625
93,35881.6,0.66667,0.66213,1.1418,0.73213,0.76824,0.79914,0.6175,0.81944,1.0277,1.22222,0.0008705,0.0008705,0.0008705
94,36234.9,0.65897,0.66508,1.13864,0.63633,0.65462,0.6973,0.53377,0.89707,1.62166,1.28868,0.000866375,0.000866375,0.000866375
95,36586.1,0.65478,0.64982,1.14038,0.70625,0.78341,0.78867,0.5967,0.86609,1.08635,1.24667,0.00086225,0.00086225,0.00086225
96,36935.4,0.66167,0.61119,1.15094,0.74498,0.78229,0.81175,0.62984,0.85711,1.06895,1.27001,0.000858125,0.000858125,0.000858125
97,37297.3,0.63784,0.62177,1.11685,0.74024,0.78962,0.79757,0.61954,0.83794,1.1387,1.23061,0.000854,0.000854,0.000854
98,37652.6,0.64927,0.6251,1.12138,0.71638,0.80865,0.78336,0.60889,0.84822,1.087,1.24718,0.000849875,0.000849875,0.000849875
99,38003,0.63363,0.60183,1.1253,0.75681,0.83007,0.86286,0.66349,0.85603,0.9976,1.24346,0.00084575,0.00084575,0.00084575
