epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2548.2,1.10944,2.64518,1.46622,0.44083,0.70923,0.5413,0.36956,1.05573,2.1612,1.40094,0.00332381,0.00332381,0.00332381
2,5327.26,1.08098,1.93475,1.38503,0.38839,0.76437,0.53838,0.37708,0.99764,2.04935,1.43772,0.00663517,0.00663517,0.00663517
3,9235.07,1.14626,1.85726,1.41465,0.41398,0.57491,0.46455,0.29925,1.14164,2.62266,1.55857,0.00992454,0.00992454,0.00992454
4,11866.4,1.20004,1.80627,1.44626,0.3457,0.62732,0.46991,0.30125,1.26957,1.95105,1.59293,0.009901,0.009901,0.009901
5,14320.2,1.14162,1.67423,1.40288,0.48997,0.69357,0.57573,0.41537,0.9549,1.35557,1.34678,0.009868,0.009868,0.009868
6,17644.5,1.09201,1.6015,1.37119,0.46392,0.77447,0.64526,0.47753,0.91358,1.20442,1.32242,0.009835,0.009835,0.009835
7,20629.3,1.06321,1.51834,1.35499,0.50327,0.71242,0.63368,0.46371,0.92091,1.33906,1.32353,0.009802,0.009802,0.009802
8,22899.8,1.03051,1.46021,1.33289,0.46543,0.57509,0.56379,0.40622,0.96628,1.52931,1.33258,0.009769,0.009769,0.009769
9,25110.9,1.00089,1.40095,1.31576,0.62963,0.69183,0.70321,0.53279,0.84065,1.09001,1.21637,0.009736,0.009736,0.009736
10,27316.4,0.98367,1.35409,1.30043,0.51818,0.66816,0.66163,0.48063,0.93495,1.18669,1.26624,0.009703,0.009703,0.009703
11,29548.1,0.95925,1.31092,1.28102,0.55621,0.62877,0.58706,0.43243,0.89036,1.36686,1.25248,0.00967,0.00967,0.00967
12,31759.5,0.95018,1.27515,1.27255,0.64078,0.72685,0.72553,0.55733,0.82729,0.98574,1.20528,0.009637,0.009637,0.009637
13,33959.6,0.9248,1.22638,1.2585,0.63241,0.71862,0.71514,0.54297,0.85183,1.13387,1.24155,0.009604,0.009604,0.009604
14,36110.5,0.91788,1.18869,1.25171,0.56915,0.66674,0.63299,0.46574,0.92997,1.46211,1.28769,0.009571,0.009571,0.009571
15,38259,0.89984,1.15002,1.24098,0.69692,0.7488,0.79291,0.61273,0.79088,1.00969,1.15501,0.009538,0.009538,0.009538
16,40384.9,0.88313,1.12277,1.2332,0.61377,0.69957,0.72947,0.5666,0.81934,1.14425,1.1907,0.009505,0.009505,0.009505
17,42546.4,0.87614,1.08227,1.22287,0.70889,0.79145,0.81952,0.63477,0.78001,0.90391,1.15138,0.009472,0.009472,0.009472
18,45201.6,0.87098,1.06597,1.22026,0.68482,0.7443,0.78526,0.61808,0.78041,0.98153,1.17217,0.009439,0.009439,0.009439
19,47299.6,0.85824,1.02902,1.21523,0.74108,0.75371,0.81339,0.62644,0.81599,0.94714,1.19079,0.009406,0.009406,0.009406
20,49560.4,0.84741,1.01005,1.20769,0.756,0.7794,0.83295,0.63684,0.78369,0.87503,1.17493,0.009373,0.009373,0.009373
21,51909.7,0.84097,0.98233,1.20758,0.74769,0.78245,0.82193,0.63417,0.80419,0.88748,1.18168,0.00934,0.00934,0.00934
22,54280.7,0.83151,0.9666,1.19628,0.72509,0.77549,0.8133,0.63744,0.7914,0.89908,1.161,0.009307,0.009307,0.009307
23,57006.5,0.81683,0.94082,1.18507,0.7677,0.78542,0.84366,0.65368,0.80092,0.85564,1.17102,0.009274,0.009274,0.009274
24,59439.7,0.81859,0.92095,1.19428,0.74128,0.76434,0.79978,0.62286,0.80046,0.96677,1.2095,0.009241,0.009241,0.009241
25,61887.6,0.80641,0.90416,1.18312,0.75145,0.81704,0.82808,0.6414,0.7838,0.86219,1.18071,0.009208,0.009208,0.009208
26,64411.3,0.80578,0.88421,1.17824,0.81317,0.7911,0.83397,0.64716,0.78814,0.88599,1.17268,0.009175,0.009175,0.009175
