epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.42,1.11645,2.89102,1.44369,0.00353,1,0.35093,0.19899,0.91388,3.50412,1.46844,0.000405983,0.000405983,0.000405983
2,429.228,1.16153,2.12393,1.45287,0.21651,0.44996,0.22912,0.15406,1.06108,3.03567,1.57323,0.000819935,0.000819935,0.000819935
3,643.612,1.18208,1.96626,1.45039,0.27459,0.31748,0.23392,0.13958,1.40764,3.19876,1.88663,0.00123114,0.00123114,0.00123114
4,859.892,1.21237,1.8566,1.43888,0.20965,0.274,0.16331,0.09945,1.94802,3.3909,2.24805,0.00123763,0.00123763,0.00123763
5,1073.4,1.1713,1.75618,1.43234,0.20655,0.56848,0.35412,0.20031,1.22189,3.10316,1.5995,0.0012335,0.0012335,0.0012335
6,1287.71,1.14979,1.66856,1.39072,0.36306,0.64943,0.49025,0.32067,1.03739,2.03652,1.39817,0.00122937,0.00122937,0.00122937
7,1504.42,1.12395,1.57992,1.38088,0.39038,0.63555,0.52815,0.36935,0.99502,1.81543,1.35022,0.00122525,0.00122525,0.00122525
