epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,15821.6,0.95124,0.62224,0.02731,0.96415,0.96556,0.99144,0.74524,0.8825,0.3513,0.02451,0.0017294,0.0017294,0.0017294
43,16202.6,0.9803,0.62844,0.02861,0.87454,0.9641,0.97126,0.65105,1.11332,0.7191,0.03108,0.0017228,0.0017228,0.0017228
44,16583.2,0.95617,0.61453,0.02753,0.97146,0.96014,0.99266,0.73513,0.95999,0.3712,0.02621,0.0017162,0.0017162,0.0017162
45,16964.6,0.92297,0.61878,0.02677,0.9823,0.98718,0.9942,0.77131,0.87009,0.3456,0.02355,0.0017096,0.0017096,0.0017096
46,17346.8,0.90932,0.62605,0.02597,0.96063,0.96667,0.99071,0.73688,0.95726,0.38937,0.02696,0.001703,0.001703,0.001703
47,17728.7,0.91701,0.60402,0.02615,0.94998,0.97394,0.99014,0.73478,1.01047,0.42834,0.02833,0.0016964,0.0016964,0.0016964
48,18110.9,0.91966,0.60528,0.02651,0.99164,0.98462,0.99451,0.74481,0.97255,0.34948,0.02633,0.0016898,0.0016898,0.0016898
49,18492,0.90116,0.60754,0.02579,0.98702,0.97523,0.99431,0.75222,0.89538,0.40864,0.02455,0.0016832,0.0016832,0.0016832
50,18873,0.88695,0.5847,0.02569,0.97006,0.97692,0.99276,0.7543,0.86774,0.34202,0.02337,0.0016766,0.0016766,0.0016766
51,19258.3,0.91153,0.5906,0.02623,0.97395,0.99231,0.99433,0.76448,0.8378,0.40583,0.02235,0.00167,0.00167,0.00167
52,19644.5,0.89294,0.59262,0.02526,0.96108,0.97949,0.99107,0.72222,1.02259,0.43312,0.02918,0.0016634,0.0016634,0.0016634
53,20030.1,0.90574,0.57495,0.02567,0.9544,0.96594,0.98948,0.72639,1.01925,0.4051,0.0286,0.0016568,0.0016568,0.0016568
54,20413.3,0.87456,0.57483,0.0248,0.96675,0.96912,0.9917,0.74329,0.90557,0.52186,0.02455,0.0016502,0.0016502,0.0016502
55,20796.8,0.91666,0.55766,0.02617,0.94816,0.93792,0.98645,0.73957,0.95616,0.43048,0.02713,0.0016436,0.0016436,0.0016436
56,21178.8,0.85442,0.58087,0.02441,0.97217,0.98718,0.9941,0.77331,0.85074,0.34194,0.02319,0.001637,0.001637,0.001637
57,21561.2,0.87553,0.55434,0.02471,0.9408,0.9779,0.99045,0.77632,0.87773,0.34189,0.02373,0.0016304,0.0016304,0.0016304
58,21944.1,0.86645,0.55514,0.02426,0.99218,0.97598,0.9936,0.77566,0.84373,0.34912,0.02274,0.0016238,0.0016238,0.0016238
59,22328.1,0.8794,0.55867,0.02508,0.94934,0.97179,0.98809,0.7251,0.94546,0.38987,0.02572,0.0016172,0.0016172,0.0016172
60,22709,0.88402,0.56939,0.02506,0.95974,0.97796,0.99112,0.7665,0.89601,0.41091,0.02465,0.0016106,0.0016106,0.0016106
61,23089.4,0.88094,0.54693,0.02534,0.98148,0.99487,0.99456,0.75419,0.89448,0.34398,0.02481,0.001604,0.001604,0.001604
62,23471.9,0.88047,0.56222,0.02507,0.98977,0.99273,0.99432,0.74908,0.93934,0.31821,0.02574,0.0015974,0.0015974,0.0015974
63,23852.2,0.87898,0.55826,0.02496,0.98533,0.97692,0.99197,0.74488,0.99351,0.3582,0.02757,0.0015908,0.0015908,0.0015908
64,24233.6,0.8606,0.53955,0.02438,0.9675,0.99231,0.99416,0.75498,0.94054,0.38099,0.0257,0.0015842,0.0015842,0.0015842
65,24616.4,0.83462,0.55256,0.02339,0.97863,0.97949,0.9935,0.75897,0.87073,0.35689,0.02337,0.0015776,0.0015776,0.0015776
66,24998.1,0.85008,0.54042,0.02422,0.96734,0.98741,0.99399,0.7646,0.86051,0.33658,0.02332,0.001571,0.001571,0.001571
67,25379.1,0.82586,0.53156,0.02363,0.96003,0.9854,0.99181,0.78666,0.82939,0.3446,0.02193,0.0015644,0.0015644,0.0015644
68,25759.6,0.85091,0.53629,0.02477,0.96403,0.96207,0.98973,0.71303,1.0099,0.4314,0.02861,0.0015578,0.0015578,0.0015578
69,26139.6,0.8387,0.54568,0.02375,0.96653,0.96261,0.99123,0.76482,0.81423,0.50385,0.02159,0.0015512,0.0015512,0.0015512
70,26505.8,0.83949,0.55601,0.02386,0.95951,0.9723,0.99192,0.74098,0.89882,0.49041,0.02483,0.0015446,0.0015446,0.0015446
71,26870.5,0.83505,0.53371,0.02358,0.98148,0.99744,0.99379,0.76633,0.85706,0.33369,0.02308,0.001538,0.001538,0.001538
72,27236,0.83723,0.53227,0.0234,0.92464,0.92821,0.98189,0.73926,0.86475,0.43933,0.02354,0.0015314,0.0015314,0.0015314
73,27601.8,0.82764,0.52883,0.02327,0.96708,0.97934,0.99221,0.77754,0.90841,0.34368,0.0243,0.0015248,0.0015248,0.0015248
