epoch,train_accuracy_score,train_loss,train_precision_score,train_recall_score,train_f1_score,valid_accuracy_score,valid_loss,valid_precision_score,valid_recall_score,valid_f1_score
1,0.5351583467525497,1.0730883664363056,0.5316440683470895,0.5351583467525497,0.5319360397722277,0.5615384615384615,0.998293950007512,0.6085339454732146,0.5615384615384615,0.5308592644044379
2,0.5571658615136876,1.043028874737693,0.5562981593484134,0.5571658615136876,0.5562785853702868,0.5897435897435898,0.9563509112749344,0.6290321396597144,0.5897435897435898,0.5977152905665227
3,0.5791733762748256,1.0045423885218507,0.5766841707285324,0.5791733762748256,0.5770437204435661,0.6051282051282051,0.915224299675379,0.6262011565491287,0.6051282051282051,0.6094492057296935
4,0.5893719806763285,1.0039353595583655,0.5882387071000388,0.5893719806763285,0.5886681780025418,0.5974358974358974,0.9294958826823112,0.636218719645452,0.5974358974358974,0.601806023816234
5,0.5657541599570585,1.0186401828923535,0.5630125070665951,0.5657541599570585,0.5636125375008749,0.5897435897435898,0.9519949185542571,0.6323494334374208,0.5897435897435898,0.5941910513413783
6,0.596886741814278,0.9690716710067602,0.5948179533238899,0.596886741814278,0.595553214651809,0.6051282051282051,0.9428024371465047,0.6364795095014876,0.6051282051282051,0.6022376806734343
7,0.5748792270531401,0.9851002777640179,0.5732562135142181,0.5748792270531401,0.5731954307213569,0.5846153846153846,0.9016331950823466,0.610788085967156,0.5846153846153846,0.5910788527939502
8,0.5915190552871712,0.9616863726609763,0.5880138540756474,0.5915190552871712,0.5887399847305993,0.5769230769230769,0.9215071506989307,0.639224066995806,0.5769230769230769,0.5845300291106743
9,0.6210413311862587,0.9268004566639005,0.6199646128531617,0.6210413311862587,0.6202255069605859,0.6051282051282051,0.9175151824951172,0.6126356477480073,0.6051282051282051,0.6050700309219967
10,0.581857219538379,0.9852161595594864,0.5798218924790375,0.581857219538379,0.5801873767815279,0.5692307692307692,0.9836249706072685,0.604918937715866,0.5692307692307692,0.562785473673132
11,0.6124530327428879,0.9556719067911915,0.6107972444513715,0.6124530327428879,0.6110445240560625,0.5769230769230769,0.9419037828078637,0.66287287709521,0.5769230769230769,0.5790478532366417
12,0.605475040257649,0.9465742429225469,0.6040955998234847,0.605475040257649,0.6045891907626689,0.6102564102564103,0.8916413918519631,0.6437450755258407,0.6102564102564103,0.6152370241594379
13,0.5721953837895867,0.995823069471092,0.5687832530675285,0.5721953837895867,0.5698061059606677,0.5948717948717949,0.9397787901071402,0.6332422936009955,0.5948717948717949,0.6013457966051915
